Abaca (Manilla Hemp),5305
Cereals - Unmilled,10
Seeds - Cereal,10
"Cereals - Milled, flaked, etc",11
"Nuts, oleaginous",12
"Oil seeds, nuts and kernels",12
"Oleaginous nuts, seeds and fruit",12
Seeds - Oil,12
"Fat - Animal or vegetable, fish or marine mammal",15
Fat - From bones or waste,15
"Oil - Animal or vegetable, fish or marine mammal",15
"Beverages, alcoholic and non-alcoholic",22
"Mineral products, crude",25
Chemicals inorganic,28
Halogen or sulphur compounds of non-metals Sub-Chapter III,28
Inorganic chemicals,28
Chemicals organic,29
Organic chemicals,29
Pharmaceuticals,30
Fertilisers,31
Colouring matter,32
Cosmetics,33
Adhesives,35
Explosives,36
Carbon fibre reinforced plastics,39
"Clock - Glasses, of plastic",39
Fibreglass (glass fibre reinforced plastics),39
Glass fibre reinforced plastics,39
"Moulding powders, plastics",39
"Resins, synthetic",39
"Plaiting materials, manufactures of",46
Paper-making material,47
Printed matter,49
Spider silk,50
Tussah silk,50
Wild silk,50
Fibres - Cotton,52
Vegetable textile fibres (other than cotton),53
Acrylic (textile),54
Aramids,54
Fibres - Filament,54
"Fibres - Man-made, artificial - Filament",54
Man-made fibres - Filaments,54
Rayon,54
"Fibres - Man-made, artificial - Staple",55
Fibres - Staple,55
Man-made fibres - Staple fibres,55
Carpets and other textile floor coverings,57
Mats and matting - Textile,57
Rugs (floor covering),57
Tiles - Carpet,57
"Cotton (textile) - Fabrics, woven - Impregnated, coated, covered or laminated",59
"Fabrics (textile), knitted or crocheted - Impregnated, coated, covered or laminated",59
"Cotton (textile) - Fabrics, knitted - Not coated or impregnated",60
"Apparel - Clothing - Imitation fur, knitted fabric",61
Apparel - Clothing - Knitted or crocheted,61
Knitted garments,61
"Apparel - Clothing - Woven, non-woven",62
"Apparel - Clothing - Imitation fur, woven fabric",62
Garments - other than knitted or crocheted,62
Ballet shoes,64
Bathing slippers,64
Boots,64
Moccasins,64
Skating boots - without skates,64
Sports shoes,64
Apparel - Clothing - Headgear,65
"Electrical apparatus, appliances and machinery - Hats and other headgear",65
Hats,65
Headgear,65
"Stone, articles of",68
Ceramic articles,69
China,69
"Cooking utensils, ceramic",69
Earthenware,69
Porcelain,69
Pottery,69
Glass and glassware,70
Optical glass,70
"Quartz, fused",70
Agate,71
Amethyst,71
Ammolite,71
Jade,71
Precious metals,71
Precious stones,71
Brass (alloy of copper and zinc),74
Bronze (alloy of copper and tin),74
"Copper, including alloys",74
Cupro-nickel,74
Nickel-silver,74
"Nickel, including alloys",75
"Aluminium, including alloys",76
Lead,78
"Zinc, including alloys",79
"Motor vehicle parts and accessories - Hand tools, base metal",82
"Motor vehicle parts and accessories - Tools, hand, base metal",82
Machines and machinery - Hydraulic,84
"Aircraft parts - Electrical, radio and radar",85
Aircraft parts - Engines - Navigational instruments,90
"Continuous-line graph recorders, electrical",90
Gauges - Electrical,90
Gauges - Non-electrical,90
Instruments and apparatus - For testing equipment and materials by electrical means,90
Radio - Test equipment,90
Testing instruments,90
"Instruments and apparatus - Rules - Instruments, musical - Other",92
"Musical instruments, and parts and accessories",92
Armaments,93
Bullet-proof jackets,93
Firearms,93
Weapons (armaments),93
Wood - Furniture,94
Apparatus for games and sports,95
"Nets, sports (goal nets, tennis nets, fish landing of nets, etc)",95
Toys,95
"Art, works of",97
"Animals, live",01
Asses,0101
Hinnies,0101
Mules,0101
Bovine animals (live),0102
Buffaloes (live),0102
Bullocks (live),0102
Bulls (live),0102
Calves,0102
Cattle,0102
Cows,0102
Heifers,0102
Steers,0102
"Pigs, live",0103
Swine,0103
Goats,0104
Lambs,0104
Sheep,0104
"Fowls, live",0105
"Poultry, live",0105
Bees,0106
Birds (other than poultry),0106
Cats,0106
Dogs,0106
Greyhounds,0106
"Pigeons, live",0106
"Rabbits, domestic",0106
Zoo animals,0106
"Meat - Fresh, chilled, frozen",02
"Veal, fresh, chilled",0201
"Beef - Fresh, chilled, frozen","0201, 0202"
"Veal, frozen",0202
"Pork, fresh, chilled, frozen",0203
Goat meat,0204
"Lamb (meat) - Fresh, chilled, frozen",0204
"Mutton - Fresh, chilled, frozen",0204
"Horsemeat - Fresh, chilled, frozen",0205
Sweetbreads (edible offal),0206
"Tongues - Fresh, chilled or frozen",0206
"Edible offal, meat - Fresh, chilled, frozen","0206, 0208"
"Offal, edible, meat - Fresh, chilled, frozen","0206, 0208"
"Edible offal, poultry (other than liver)",0207
"Fowls, dead",0207
"Liver, poultry",0207
"Offal, edible, poultry (other than liver)",0207
"Poultry liver, fresh, chilled or frozen",0207
"Poultry meat, fresh, chilled or frozen",0207
Frog's legs,0208
"Game (meat and edible offals), fresh, chilled or frozen",0208
"Pigeons, dead",0208
"Rabbits, dead",0208
Seal meat,0208
"Venison, fresh, chilled or frozen",0208
Whalemeat,0208
"Fat - Pig and poultry, unrendered",0209
"Pig fat, unrendered",0209
"Poultry fat, unrendered",0209
Bacon,0210
"Beef - Salted, in brine, dried or smoked",0210
"Edible offal, meat - Salted, in brine, dried or smoked",0210
"Hams, dried or smoked",0210
